bitcoin address,wire amount,credit card
1J9DVMtgvnPv4KGHL2XSzoTSt5cBBL1DXe,£8356.92,3543456448666398
1HaiVQbzCTs7t1K1fckYEUi9t8ERBFRR7Q,"€311,06",3584615208479876
1NGPjXfDScEUSZYajAzCkxaVApTbBHC7jP,"€2032,44",6370577480710876
15cSYRTbcrxYinxNxk7VbkPLZG8nypdjy6,¥8155.74,4508652385157398
18j2qG1DH9YduJiBiccAq8Ak897G3E4JyZ,£3265.44,374622922103592
17js1X5yhuGgcianZctDuZCYN9MhZjemMJ,$7582.61,3548758788344311
13hzSfBxdQDs4qQTBKJefZNa3BBBUpdsQM,$6091.71,5411272786938057
13FxRMKPxyjRuHXgxPJyJxuu6UFB1PMHbJ,£4018.08,3574760573036422
1DupqrXnspxMEL6RRfFSL7Fzbce3V3uBaw,£7719.31,5007662202119789
18wq7MMetvLQ12S5aVSFp1ztkJASy2ADrH,¥657.75,5108759983537631
1C5WyUFn7s2p9fjbhgSLTUSeBXZDqbsTn1,¥7820.39,3565621670096563
1JZiTsy8EHr5a5f7hx5vp6LQ9vpStGUZK2,¥5291.92,3555777049792746
1NnnrgMzheDBtLc5MdjjbgQP4ViSfVmcvC,$7715.67,3562833892493550
1BuKuZNEGuCPcZwcdcxPsHwnojjTKpZsEx,£7760.80,3551530810317167
1JwqRogYcTnoN9uLVe3RoJj6AHVTcdZe65,$1242.43,3583828630449026
112hm4rTxkxDncUwnHUiBSb4gEirbnmy1s,$1968.68,5020056194754955
14ZFjt7RyUwQA9Mw9DfaYveBd4rV2VbtyC,"€2998,22",5108753434060319
1Dg8kz3FHhL4pMF79aHSYwVcQa1KFa91YJ,$2805.68,3578612481570180
15xtwuERepoop7Xq9ctq3A6Sgf18DiiqCd,$3373.78,5002357443499505
16KxwaM8MkrtT7Ep9SW9ZZYVVXe6zJeJMe,¥9784.11,5602216736673743
1NiZP6SXjQtNkvutwuTQAQearKYe3tSFKu,¥6758.06,3554525044828648
18824g7tiDHKjcDhXYfarL512oQio4ngDH,£8770.93,5610161660406175
1JZtkpmjsGDowzUtbJyjhZNeDx4SgDahS5,"€9578,07",3535943877286053
1GHcZbZHCdHxuFmygPg7XVfzq8aLmTz8xD,£6611.73,06043508506849700
1EJQuLXrfVWqtBHBFHyDyScVNFtH4RKQGN,¥9469.89,3587013185724224
18KfPFhf9rjKtGTih8emao8a9R69YH8fpg,"€1182,40",337941953403929
1BiJMTMfXcnvjyRncBWyL8vTtTuPGRCe1G,£3160.47,30097987135597
1GHEyWH15yYmynRojByR5mbiZ23b7uuiXY,$7045.75,201600822571596
1LX2yh6qmJeRhNZ9kZikVEgdXCVA7Vinyy,$3139.70,3543111172435920
1P62BRzaHw76ZSB29mE7P6LqJ5CHmEddj6,"€7364,02",3561814025380014
161bCrgUq2fSBp4vaowsUVLP97UvZDy8fi,£3116.86,5020731729308424
1PBPwhzLhfunDimgtCP66uX8U8TKPzkqww,$1255.29,4903652781110692487
1NNxvR214m7g7Y8jwG4tYx1D9p9gDAuTYR,$3405.52,50208675210357988
14n8nYxTKQDngrfTZFEkxfbsQTtR8AuXA5,£1306.27,4041374850510381
1BQEwenFvzjT64DNaRJy8HHEYCYfJ6EB3X,"€6681,32",30177213470859
1JBrKYf9ELodpzYLQmhECpBMwztCjXqGY6,¥9610.23,6762732725836749
1LhZfELqh9HVZc7wUXR5rGE3g3M7suD38P,$4251.14,3557691445494484
1KXzaLevf8fBxS7XpQYJqALXcBMuPw34yb,£6358.48,675993553050645494
1FdH9qkyfGnfQmH1y2PYjRGzx5HL5jf5mb,¥6329.43,3538828492083703
14p2JNKmz7eho5qk8do1osR4XsirnEdv41,"€5306,58",3566298546453093
1CT4FpRr1FaRwSTxgt2SVketmLDpG2Y6n6,$7881.20,3566331573682290
1BHSsZEnL3m8bqhJqnaDnN1SUnYvhhfEpW,"€2108,57",3563592941050444
1Lr1Q2CvdMsohTfNydv8q7VCYnzygZt71q,"€875,66",3560783036894902
121xntfZDNzaaDeK4ZZE81dysnZD1w2YFf,"€8894,94",30075468004441
1NADuRKFgtyNpauA5NQuXWHUBE9fN66sUa,$5327.18,201437881023387
